Concessionária;no da barra;Ponto de Conexão;TUST-RB (R$/kW.mês);;TUST-FR (R$/kW.mês)
;;;Ponta;Fora Ponta;Ponta;Fora Ponta
; 2397; SANTAQUITERIA - 69;  5,877;  6,121;  1,040;  1,040
; 9359; UBERABA - 13,8;  5,992;  6,253;  4,155;  4,155
; 2401; UBERABA - 69;  5,889;  6,128;  1,384;  1,384
; 2402; UMBARA - 69;  5,774;  6,003;  3,264;  3,264
; 9726; UMUARAMA - 138;  5,254;  5,352;  0,541;  0,541
COPREL; 9675; CRUZ ALTA 1 – 23;  4,748;  4,919;  6,385;  6,385
; 1220; JACUI - 23;  4,748;  4,919;  5,614;  5,614
; 1333; PANAMBI – 13,8;  4,748;  4,920;  8,142;  8,142
; 1284; SANTA MARTA – 13,8;  5,231;  5,400;  1,271;  1,271
; 1279; SANTA MARTA – 69;  5,231;  5,400;  2,167;  2,167
; 9921; VILA MARIA – 138;  4,679;  4,787; 17,444; 17,444
COSERN; 5463; ACU II - 69;  5,523;  5,382;  5,567;  5,567
; 5468; ACU II - 138;  5,523;  5,382;  0,419;  0,419
; 5263; CUR.NOVOS II - 69;  5,672;  5,530;  2,326;  2,326
; 6133; EXTREMOZ II - 69;  6,176;  6,069;  0,329;  0,329
; 5633; ICO - 69;  6,335;  6,298;  1,542;  1,542
; 5443; MOSSORO II - 69;  5,625;  5,551;  2,636;  2,636
; 5243; NATAL II - 69;  6,300;  6,230;  1,314;  1,314
; 5246; NATAL III - 69;  6,267;  6,184;  1,370;  1,370
; 5253; SANTA CRUZ II - 69;  5,999;  5,891; 12,643; 12,643
; 5474; SAN.MATOS II - 138;  5,523;  5,382; 12,643; 12,643
CPFL PAULISTA; 2338; DOIS CORREGOS - 138;  5,658;  5,679;  5,734;  5,734
; 2336; AMPARO - 138;  5,665;  5,654;  5,734;  5,734
; 2296; ARACATUBA - 138;  4,822;  4,695;  5,734;  5,734
;  560; ARARAQUARA CTP - 138;  5,363;  5,295;  0,127;  0,127
; 2337; AUXILIADORA - 138;  5,881;  5,976;  5,734;  5,734
;  479; BAGUACU - 138;  4,846;  4,722;  0,041;  0,041
;  633; BARIRI - 138;  5,155;  5,077;  5,734;  5,734
;  562; BAURU - 138;  5,194;  5,124;  0,077;  0,077
;  635; BARRA BONITA - 138;  5,738;  5,787;  5,734;  5,734
; 6584; BIRIGUI 3 - 138;  4,834;  4,709;  5,734;  5,734
; 2113; BROTAS - 138;  5,624;  5,636;  5,734;  5,734
;  626; BOTUCATU - 138;  5,903;  6,006;  0,026;  0,026
;  171; CAMPINAS - 138;  5,596;  5,583;  1,230;  1,230
; 2339; DESCALVADO - 138;  5,470;  5,417;  5,734;  5,734
; 4290; DOOSAN DABO - 138;  5,574;  5,550;  5,734;  5,734
; 3106; GETULINA - 138;  4,962;  4,860;  1,345;  1,345
; 4291; GUARA. TANABI - 138;  4,924;  4,794;  5,734;  5,734
